GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lhea1	Lhea2	Lhea3	Lhea4	Lhea5	Lhea6	Llun1	Llun2	Llun3	Llun4	Llun5	Llun6	LMhea1	LMhea2	LMhea3	LMhea4	LMhea5	LMhea6	LMlun1	LMlun2	LMlun3	LMlun4	LMlun5	LMlun6	Mhea1	Mhea2	Mhea3	Mhea4	Mhea5	Mhea6	Mlun1	Mlun2	Mlun3	Mlun4	Mlun5	Mlun6	MLhea1	MLhea2	MLhea3	MLhea4	MLhea5	MLhea6	MLlun1	MLlun2	MLlun3	MLlun4	MLlun5	MLlun6
col6a3	protein_coding	chrNC_030685.1:55178804-55266755:-	gi|512867316|ref|XP_002932067.2|	11604	0	PREDICTED: collagen alpha-3(VI) chain isoform X1 [Xenopus tropicalis]	gi|847166752|ref|XM_002932021.3|	11067	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type VI, alpha 3 (col6a3), transcript variant X1, mRNA	P15989	1061	0	Collagen alpha-3(VI) chain	.	.	.	.	pfam00092	VWA	von Willebrand factor type A domain.	GO:0007155|cell adhesion;	GO:0005581|collagen trimer;GO:0005578|proteinaceous extracellular matrix;	GO:0004867|serine-type endopeptidase inhibitor activity;	.	.	17.44638473	26.61130989	20.65157098	22.56926217	12.83061664	23.56431036	104.5756243	47.80702258	48.23168015	57.18080142	53.32286186	39.55286966	16.93090632	8.132908027	11.44995804	16.20106595	11.33992059	13.14410497	45.03235437	37.27215921	43.83332535	22.64806359	43.01697887	49.03809794	16.57984182	16.05593252	17.95789596	16.96720686	13.27660982	16.1647848	39.31752366	34.43774376	26.21966363	40.99145882	26.92763449	27.47591468	12.94966337	29.59892104	12.03295526	29.1925891	17.79468713	16.98830176	33.50845879	81.90197283	38.52051187	67.02944209	41.86690583	47.5743703
c9	protein_coding	chrNC_030677.1:183624473-183642059:+	gi|166796971|gb|AAI59018.1|	3203	0	c9 protein, partial [Xenopus tropicalis]	gi|847090069|ref|XM_004910445.2|	2021	0	PREDICTED: Xenopus (Silurana) tropicalis complement component 9 (c9), mRNA	Q3MHN2	513	2.00E-173	Complement component C9	.	.	.	.	pfam01823	MACPF	MAC/Perforin domain. The membrane-attack complex (MAC) of the complement system forms transmembrane channels. These channels disrupt the phospholipid bilayer of target cells, leading to cell lysis and death. A number of proteins participate in the assembly of the MAC. Freshly activated C5b binds to C6 to form a C5b-6 complex, then to C7 forming the C5b-7 complex. The C5b-7 complex binds to C8, which is composed of three chains (alpha, beta, and gamma), thus forming the C5b-8 complex. C5b-8 subsequently binds to C9 and acts as a catalyst in the polymerization of C9. Active MAC has a subunit composition of C5b-C6-C7-C8-C9{n}. Perforin is a protein found in cytolytic T-cell and killer cells. In the presence of calcium, perforin polymerizes into transmembrane tubules and is capable of lysing, non-specifically, a variety of target cells. There are a number of regions of similarity in the sequences of complement components C6, C7, C8-alpha, C8-beta, C9 and perforin. The X-ray crystal structure of a MACPF domain reveals that it shares a common fold with bacterial cholesterol dependent cytolysins (pfam01289) such as perfringolysin O. Three key pieces of evidence suggests that MACPF domains and CDCs are homologous: Functional similarity (pore formation), conservation of three glycine residues at a hinge in both families and conservation of a complex core fold.	GO:0006957|complement activation, alternative pathway;GO:0006958|complement activation, classical pathway;GO:0019835|cytolysis;	GO:0072562|blood microparticle;GO:0005737|cytoplasm;GO:0070062|extracellular exosome;GO:0005579|membrane attack complex;	.	K04000	C9; complement component 9	6.334891527	10.91342571	11.04824775	10.26917733	6.103914781	16.09785548	19.36559454	9.508197342	12.46906688	14.66665175	23.68783732	12.49105368	20.97559826	11.61205826	6.769932117	18.35241005	4.121883097	28.40032841	18.22706242	25.27155255	14.48596084	13.29784218	10.9214146	15.80970636	16.5328479	25.48504695	22.71781403	17.51587576	26.00345935	17.24860687	14.73923178	28.60001209	15.91972338	19.66039326	35.27632294	20.54489273	7.943172579	8.879360234	5.862347894	22.18827313	21.07710056	8.543786357	17.51756526	19.17559417	15.00102638	29.41808381	21.09493929	19.64898993
wnt9a	protein_coding	chrNC_030682.1:1653298-1738744:-	gi|110164841|gb|ABG49502.1|	841	2.00E-103	Wnt9a, partial [Xenopus tropicalis]	gi|847140805|ref|XM_012965699.1|	1592	0	PREDICTED: Xenopus (Silurana) tropicalis wingless-type MMTV integration site family, member 9A (wnt9a), mRNA	O42280	173	1.00E-46	Protein Wnt-9a	.	.	.	.	pfam00110	wnt	wnt family. Wnt genes have been identified in vertebrates and invertebrates but not in plants, unicellular eukaryotes or prokaryotes. In humans, 19 WNT proteins are known. Because of their insolubility little is known about Wnt protein structure, but all have 23 or 24 Cys residues whose spacing is highly conserved. Signal transduction by Wnt proteins (including the Wnt/beta-catenin, the Wnt/Ca++, and the Wnt/polarity pathway) is mediated by receptors of the Frizzled and LDL-receptor-related protein (LRP) families.	GO:0045165|cell fate commitment;GO:0061303|cornea development in camera-type eye;GO:0072498|embryonic skeletal joint development;GO:0061072|iris morphogenesis;GO:0032331|negative regulation of chondrocyte differentiation;GO:0030182|neuron differentiation;GO:1902764|positive regulation of embryonic skeletal joint development;GO:0016055|Wnt signaling pathway;	GO:0005615|extracellular space;GO:0005578|proteinaceous extracellular matrix;	GO:0005109|frizzled binding;	.	.	2.399605033	3.334802598	2.864203059	3.068737831	3.343671011	6.764640949	2.114665785	1.345662943	1.568626465	2.65231082	2.069779238	1.479585541	1.865312639	3.685095474	2.689392005	5.920304226	2.654270456	5.439143339	2.226660373	9.680272225	2.534211883	1.41688219	2.209257206	1.972527743	2.827304163	4.445493137	4.411091612	2.81767226	2.734610113	4.096218931	1.893977378	3.86097812	2.803184369	3.94656292	2.727926457	2.387512404	2.556657333	1.818858335	2.099185878	3.166226383	2.827950084	2.917451753	1.627884493	2.71385685	0.992700534	2.140049257	1.093859145	1.958289745
ptn	protein_coding	chrNC_030679.1:1055144-1089135:-	gi|134026006|gb|AAI35416.1|	672	5.00E-85	ptn protein, partial [Xenopus tropicalis]	gi|847110852|ref|XM_004912472.2|	945	0	PREDICTED: Xenopus (Silurana) tropicalis pleiotrophin (ptn), transcript variant X1, mRNA	P48532	224	4.00E-71	Pleiotrophin-A	.	.	.	.	pfam01091	PTN_MK_C	PTN/MK heparin-binding protein family, C-terminal domain.	GO:0042742|defense response to bacterium;GO:0007275|multicellular organism development;GO:0051781|positive regulation of cell division;GO:0008284|positive regulation of cell proliferation;GO:0009617|response to bacterium;	GO:0005615|extracellular space;	GO:0035374|chondroitin sulfate binding;GO:0008083|growth factor activity;GO:0008201|heparin binding;	K16642	PTN; pleiotrophin	7.013058128	2.27334914	7.36076372	2.664232017	9.137786498	4.079059897	3.969558961	13.73786587	8.526071738	7.592674452	9.628429776	6.38805186	12.36269585	2.83617562	7.59754559	1.536434231	3.305684817	7.827761842	13.16920247	4.664530267	2.704605655	4.099914422	1.467443126	9.596737676	9.330464824	1.831416051	2.015681302	5.785882179	4.024967266	2.969540376	5.605319633	4.552088489	7.823927126	1.654879416	13.93696184	1.22407382	6.737643237	5.782552213	31.11682093	6.520774204	21.29574814	4.354166677	9.161925877	13.56701704	16.95469483	15.31824731	13.79523613	1.703586814
kitlg	protein_coding	chrNC_030679.1:45163481-45200603:-	gi|847110277|ref|XP_012814626.1|	1520	0	PREDICTED: kit ligand isoform X1 [Xenopus tropicalis]	gi|847110276|ref|XM_012959172.1|	4614	0	PREDICTED: Xenopus (Silurana) tropicalis KIT ligand (kitlg), transcript variant X1, mRNA	Q09108	166	3.00E-43	Kit ligand	.	.	.	.	pfam02404	SCF	Stem cell factor. Stem cell factor (SCF) is a homodimer involved in hematopoiesis. SCF binds to and activates the SCF receptor (SCFR), a receptor tyrosine kinase. The crystal structure of human SCF has been resolved and a potential receptor-binding site identified.	GO:0007155|cell adhesion;GO:0035234|ectopic germ cell programmed cell death;GO:0035162|embryonic hemopoiesis;GO:0097192|extrinsic apoptotic signaling pathway in absence of ligand;GO:0008584|male gonad development;GO:0033026|negative regulation of mast cell apoptotic process;GO:0001755|neural crest cell migration;GO:0045740|positive regulation of DNA replication;GO:1902035|positive regulation of hematopoietic stem cell proliferation;GO:0002687|positive regulation of leukocyte migration;GO:0043406|positive regulation of MAP kinase activity;GO:0070668|positive regulation of mast cell proliferation;GO:0045636|positive regulation of melanocyte differentiation;GO:0002763|positive regulation of myeloid leukocyte differentiation;GO:0050731|positive regulation of peptidyl-tyrosine phosphorylation;GO:0046579|positive regulation of Ras protein signal transduction;	GO:0005737|cytoplasm;GO:0005856|cytoskeleton;GO:0005615|extracellular space;GO:0030175|filopodium;GO:0016021|integral component of membrane;GO:0030027|lamellipodium;GO:0005886|plasma membrane;	.	K05461	KITLG; KIT ligand	6.048985205	5.875812666	8.267592599	6.393576923	5.168610309	6.058715357	24.40453739	14.36267224	29.6044103	17.95303624	17.83190148	9.837617467	4.379268879	1.698299786	3.680654202	3.700623513	2.179218503	2.268762972	18.91387146	15.052729	14.02200085	11.62337722	17.43799932	15.46010279	2.497380599	5.365545479	3.384423271	5.357146642	4.721210792	4.536279908	15.67730585	21.83988922	13.25575714	19.39888417	10.46837103	15.03915721	5.015221398	6.017493174	2.472303783	3.552198198	6.041556261	4.676793554	13.41633997	25.54880334	23.09495548	31.99868775	17.56984999	19.15659215
gpi	protein_coding	chrNC_030680.1:19407485-19430385:-	gi|58332406|ref|NP_001011010.1|	2989	0	glucose-6-phosphate isomerase [Xenopus tropicalis]	gi|58332405|ref|NM_001011010.1|	2119	0	Xenopus (Silurana) tropicalis glucose-6-phosphate isomerase (gpi), mRNA	P06744	965	0	Glucose-6-phosphate isomerase	HI1576	722	0	COG0166	pfam00342	PGI	Phosphoglucose isomerase. Phosphoglucose isomerase catalyses the interconversion of glucose-6-phosphate and fructose-6-phosphate.	GO:0046185|aldehyde catabolic process;GO:0001525|angiogenesis;GO:0061621|canonical glycolysis;GO:0005975|carbohydrate metabolic process;GO:0034101|erythrocyte homeostasis;GO:0006094|gluconeogenesis;GO:0051156|glucose 6-phosphate metabolic process;GO:0042593|glucose homeostasis;GO:0007599|hemostasis;GO:0006959|humoral immune response;GO:0001701|in utero embryonic development;GO:0007611|learning or memory;GO:0001707|mesoderm formation;GO:0019242|methylglyoxal biosynthetic process;GO:0043154|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0043524|negative regulation of neuron apoptotic process;GO:0046686|response to cadmium ion;GO:0032355|response to estradiol;GO:0035902|response to immobilization stress;GO:0043278|response to morphine;GO:0035994|response to muscle stretch;GO:0032570|response to progesterone;GO:0033574|response to testosterone;	GO:0060170|ciliary membrane;GO:0005737|cytoplasm;GO:0005829|cytosol;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0016020|membrane;GO:0043209|myelin sheath;GO:0043005|neuron projection;GO:0005654|nucleoplasm;GO:0005886|plasma membrane;	GO:0004347|glucose-6-phosphate isomerase activity;GO:0016866|intramolecular transferase activity;GO:0048029|monosaccharide binding;GO:0031625|ubiquitin protein ligase binding;	K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]	548.621324	424.9517704	408.725776	455.6646819	434.672551	552.9554811	56.52704191	150.4749012	63.13100221	147.1131855	58.82694857	88.1470924	444.2832202	379.3817235	408.2112865	458.3802662	440.2650226	499.6957344	173.6905174	101.5548027	109.3782077	136.8693236	85.61191114	78.40415934	298.9835668	304.2042304	520.6521265	384.7494526	317.413023	433.0058743	98.54321115	219.658727	514.7873413	94.14848518	137.7876337	173.9187225	439.4487276	526.07276	440.4088026	600.9180806	441.4209295	494.2749035	182.9484917	93.24788511	62.16507197	98.44745291	59.77158898	71.67393209
olfm3	protein_coding	chrNC_030680.1:99134137-99161041:-	gi|512834087|ref|XP_002934209.2|	2517	0	PREDICTED: noelin-3 isoform X2 [Xenopus tropicalis]	gi|847124175|ref|XM_002934163.3|	2566	0	PREDICTED: Xenopus (Silurana) tropicalis olfactomedin 3 (olfm3), transcript variant X2, mRNA	Q96PB7	841	0	Noelin-3	.	.	.	.	pfam02191	OLF	Olfactomedin-like domain.	GO:0042462|eye photoreceptor cell development;	GO:0032281|AMPA glutamate receptor complex;GO:0030054|cell junction;GO:0005615|extracellular space;GO:0005794|Golgi apparatus;GO:0045202|synapse;	.	.	.	2.321294618	11.57762048	7.099530451	4.115601213	9.685150272	8.09276469	1.363489829	1.047691925	1.212976432	1.145801493	1.366126011	0.65427336	3.940676706	2.395076781	2.658892939	4.433052822	4.925364641	7.30936325	1.284657807	13.41578042	0.489833976	1.233908528	1.999385925	2.305261728	1.773532286	1.65067089	2.349246635	2.874046089	4.036963752	1.650128427	0.344298151	0.792801555	0.957390945	1.162120904	7.26389412	1.327745703	7.051196487	4.531543534	2.428194656	8.786483779	3.940239763	3.24758288	1.724382278	0.847288529	0.398350316	2.004423172	1.451425412	1.19632514
clu	protein_coding	chrNW_016683964.1:36869-39048:+	gi|49522319|gb|AAH75303.1|	796	6.00E-101	MGC89163 protein [Xenopus tropicalis]	gi|56789335|gb|BC088762.1|	702	0	Xenopus tropicalis MGC89163 protein, mRNA (cDNA clone MGC:108473 IMAGE:6998203), complete cds	P14018	185	7.00E-54	Clusterin	.	.	.	.	pfam01093	Clusterin	Clusterin.	GO:0008219|cell death;	GO:0042583|chromaffin granule;GO:0005829|cytosol;GO:0005783|endoplasmic reticulum;GO:0005576|extracellular region;GO:0031966|mitochondrial membrane;GO:0005634|nucleus;	.	.	.	30.78940948	38.55949887	50.93082282	56.41414364	44.86198348	40.85335374	91.73243624	35.84600717	56.98002116	79.25392532	56.41998444	31.19200847	65.52228801	106.5295233	29.71754044	101.8156285	35.99523467	25.46531497	116.4714657	421.3745278	60.48718155	63.51363154	66.66989201	63.65233038	45.61350719	85.49895394	36.11651776	49.62791938	52.91799912	124.8983606	73.76955725	88.46488328	32.91315498	70.37952273	116.3552601	60.01430752	33.3849671	37.28730249	38.83792903	49.70655035	36.12086512	35.58693918	108.8883788	56.45017578	73.22227016	46.56027094	70.60139904	72.36603818
LOC100492075	protein_coding	chrNC_030679.1:7104444-7143385:-	gi|512828639|ref|XP_002939653.2|	3333	0	PREDICTED: matrix metalloproteinase-21-like [Xenopus tropicalis]	gi|512828638|ref|XM_002939607.2|	2779	0	PREDICTED: Xenopus (Silurana) tropicalis matrix metalloproteinase-21-like (LOC100492075), mRNA	O93470	660	0	Matrix metalloproteinase-21	.	.	.	.	pfam00413	Peptidase_M10	Matrixin. The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis.	GO:0061371|determination of heart left/right asymmetry;GO:0007368|determination of left/right symmetry;	GO:0031012|extracellular matrix;	GO:0005509|calcium ion binding;GO:0004222|metalloendopeptidase activity;GO:0008270|zinc ion binding;	K08000	MMP21; matrix metalloproteinase-21 [EC:3.4.24.-]	3.038895037	6.524874524	9.280598449	8.037966507	2.550275208	7.400845576	26.14347915	26.16664145	11.88228531	49.12811098	14.4561913	13.35815856	8.255207252	3.105784847	3.96742936	8.547588653	3.569235998	3.053540354	7.188314673	15.72127331	27.12516725	33.64117871	32.60381182	46.26091117	6.234745493	8.808318564	5.193969453	8.14352525	8.973659936	7.122838305	43.43803506	40.63493666	31.91697778	13.72155142	55.67585753	51.213423	2.777281817	6.608003857	3.158683859	7.56196487	5.588314775	3.156168653	25.76228806	45.83609261	28.20135263	24.09520922	17.82900292	37.58368632
col5a3	protein_coding	chrNC_030680.1:99399687-99522306:-	gi|512835852|ref|XP_004913770.1|	2096	0	PREDICTED: collagen alpha-1(XI) chain isoform X1 [Xenopus tropicalis]	gi|512835851|ref|XM_004913713.1|	7688	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type V, alpha 3 (col5a3), transcript variant X1, mRNA	P12107	525	3.00E-152	Collagen alpha-1(XI) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	GO:0001502|cartilage condensation;GO:0002063|chondrocyte development;GO:0030199|collagen fibril organization;GO:0050910|detection of mechanical stimulus involved in sensory perception of sound;GO:0048704|embryonic skeletal system morphogenesis;GO:0035987|endodermal cell differentiation;GO:0042472|inner ear morphogenesis;GO:0001503|ossification;GO:0006029|proteoglycan metabolic process;GO:0035989|tendon development;GO:0055010|ventricular cardiac muscle tissue morphogenesis;GO:0007601|visual perception;	GO:0005592|collagen type XI trimer;GO:0031012|extracellular matrix;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	0.097882351	0.660819515	0.831745253	0.94631064	0.905409204	0.290581327	17.60066535	3.448982745	10.44226756	5.824646143	7.412458419	3.002876494	0.694136289	0.050977689	0.123246647	0.060043909	0.442104195	0.044510603	7.569809571	0.718049083	4.212744311	1.47871881	4.393246068	3.793696397	0.19817967	0.188949579	0.102443579	0.428205723	0.593230164	0.121575932	2.721450007	8.433764007	1.066062822	3.997391986	0.996528719	3.157232253	0.044017948	0.227975154	0.037105443	0.472821021	0.165655124	0.563441279	3.553157592	5.612540968	4.482248057	6.487956645	7.067515626	5.292987106
col5a3	protein_coding	chrNC_030679.1:126399455-126520015:+	gi|847169802|ref|XP_012808459.1|	5648	0	PREDICTED: collagen alpha-3(V) chain isoform X1 [Xenopus tropicalis]	gi|847169801|ref|XM_012953005.1|	6900	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type V, alpha 3 (col5a3), transcript variant X1, mRNA	Q61245	298	8.00E-80	Collagen alpha-1(XI) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	GO:0001502|cartilage condensation;GO:0051216|cartilage development;GO:0002063|chondrocyte development;GO:0030199|collagen fibril organization;GO:0050910|detection of mechanical stimulus involved in sensory perception of sound;GO:0048704|embryonic skeletal system morphogenesis;GO:0035987|endodermal cell differentiation;GO:0003007|heart morphogenesis;GO:0042472|inner ear morphogenesis;GO:0001503|ossification;GO:0006029|proteoglycan metabolic process;GO:0007605|sensory perception of sound;GO:0048705|skeletal system morphogenesis;GO:0035989|tendon development;GO:0055010|ventricular cardiac muscle tissue morphogenesis;GO:0007601|visual perception;	GO:0005581|collagen trimer;GO:0005592|collagen type XI trimer;GO:0005578|proteinaceous extracellular matrix;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	29.76962638	10.08095959	9.88751299	17.67481691	12.8188428	16.60594583	6.542576934	4.474367005	2.997026004	5.245978621	3.615450368	2.468092859	10.70365811	6.270736233	10.21857033	10.65552471	10.68921828	18.2090299	2.224794598	2.884837929	2.076881499	0.720179312	2.274655674	3.337029766	12.04995642	7.080577979	18.55861084	19.15103104	10.93803784	19.40652162	2.383407918	1.554884424	1.856577481	2.669825393	1.57143789	2.343640711	12.58161369	25.82710034	18.93006963	19.24738331	22.99009591	18.46296585	2.157224356	7.07129885	2.834520523	3.907326693	3.065269985	2.325002311
c1ql1	protein_coding	chrNC_030686.1:6561657-6590110:-	gi|313760697|ref|NP_001186529.1|	678	4.00E-82	C1q-related factor precursor [Xenopus tropicalis]	gi|313760696|ref|NM_001199600.1|	1319	0	Xenopus (Silurana) tropicalis complement component 1, q subcomponent-like 1 (c1ql1), mRNA	O88992	191	4.00E-55	C1q-related factor	.	.	.	.	pfam00386	C1q	C1q domain. C1q is a subunit of the C1 enzyme complex that activates the serum complement system.	GO:0099558|maintenance of synapse structure;GO:0061743|motor learning;GO:0016322|neuron remodeling;	GO:0044301|climbing fiber;GO:0005581|collagen trimer;GO:0005737|cytoplasm;GO:0098793|presynapse;GO:0043083|synaptic cleft;	GO:0005102|receptor binding;	.	.	15.30490364	25.74364781	26.37108373	14.35306494	8.339609755	10.80507807	5.476572673	5.08984985	5.045546934	9.23189385	2.792200976	3.422737477	32.51380345	17.54510098	16.89761002	28.53542157	12.94012291	8.495617487	12.99432063	7.619495482	4.599785228	7.326406291	3.198784354	3.409098351	22.43916051	28.5739406	23.01450874	25.0034882	30.20840885	19.05333685	8.734122681	20.59216081	10.36245429	7.26546569	12.04595229	8.063501072	14.85704129	19.38323388	11.8036913	21.22702191	27.2181151	17.91860113	11.9683489	13.43585855	3.714800877	8.654756058	4.897009662	13.83045077
crispld2	protein_coding	chrNC_030680.1:64499673-64533829:-	gi|73853836|ref|NP_001027499.1|	2724	0	cysteine-rich secretory protein LCCL domain-containing 2 precursor [Xenopus tropicalis]	gi|73853835|ref|NM_001032328.1|	4415	0	Xenopus (Silurana) tropicalis cysteine-rich secretory protein LCCL domain containing 2 (crispld2), mRNA	Q4V9Y5	1053	0	Cysteine-rich secretory protein LCCL domain-containing 2	YJL078c_1	64.3	2.00E-10	COG2340	pfam03815	LCCL	LCCL domain.	.	GO:0005576|extracellular region;	.	.	.	8.290145183	12.2135232	15.86548849	10.20303576	4.339094141	8.119777554	80.78816726	59.28917777	60.65034207	52.07169558	41.04285764	36.60683214	12.21764769	10.0535661	7.548030613	9.013837124	8.820899848	4.219722126	39.09642404	86.51557322	42.78612078	46.37128577	42.18047271	28.40391938	9.475062837	15.24103193	11.39603408	14.9246425	14.08579003	9.110401901	52.18335624	42.77502282	40.68893444	35.46089856	35.83933097	31.81285922	6.597049057	8.129190049	3.879809006	9.383316583	10.14960662	7.089697779	62.39082624	99.24825393	65.44403566	76.1141677	61.88855137	57.11356791
c7	protein_coding	chrNC_030677.1:182893667-182929038:-	gi|847090059|ref|XP_012823262.1|	4152	0	PREDICTED: complement component C7 [Xenopus tropicalis]	gi|847090058|ref|XM_012967808.1|	2014	0	PREDICTED: Xenopus (Silurana) tropicalis complement component 7 (c7), mRNA	Q9TUQ3	841	0	Complement component C7	.	.	.	.	pfam01823	MACPF	MAC/Perforin domain. The membrane-attack complex (MAC) of the complement system forms transmembrane channels. These channels disrupt the phospholipid bilayer of target cells, leading to cell lysis and death. A number of proteins participate in the assembly of the MAC. Freshly activated C5b binds to C6 to form a C5b-6 complex, then to C7 forming the C5b-7 complex. The C5b-7 complex binds to C8, which is composed of three chains (alpha, beta, and gamma), thus forming the C5b-8 complex. C5b-8 subsequently binds to C9 and acts as a catalyst in the polymerization of C9. Active MAC has a subunit composition of C5b-C6-C7-C8-C9{n}. Perforin is a protein found in cytolytic T-cell and killer cells. In the presence of calcium, perforin polymerizes into transmembrane tubules and is capable of lysing, non-specifically, a variety of target cells. There are a number of regions of similarity in the sequences of complement components C6, C7, C8-alpha, C8-beta, C9 and perforin. The X-ray crystal structure of a MACPF domain reveals that it shares a common fold with bacterial cholesterol dependent cytolysins (pfam01289) such as perfringolysin O. Three key pieces of evidence suggests that MACPF domains and CDCs are homologous: Functional similarity (pore formation), conservation of three glycine residues at a hinge in both families and conservation of a complex core fold.	GO:0006957|complement activation, alternative pathway;GO:0006958|complement activation, classical pathway;GO:0019835|cytolysis;	GO:0005576|extracellular region;GO:0005579|membrane attack complex;	.	K03996	C7; complement component 7	2.531924278	4.440546377	2.884226038	15.04788498	2.981742721	3.455849027	10.76652044	9.656400873	5.934144303	17.86113	8.219571883	6.211576152	6.658399282	10.06073978	4.984448498	5.17718907	3.630449519	6.65228173	9.901990731	20.68145037	8.61440368	6.041898542	7.014824897	9.063824311	8.543860944	4.111758218	7.581685863	4.92284622	2.865364725	23.31815773	9.684076794	7.0840256	6.020082843	6.707299836	5.982348496	8.824074607	3.7700739	7.812313723	5.758842393	5.879499637	3.833950623	3.128998186	7.022255349	17.41546657	9.300309822	11.22260461	8.379593754	8.619754725
c1qtnf2	protein_coding	chrNC_030679.1:14192535-14197393:+	gi|847112639|ref|XP_012815122.1|	1406	0	PREDICTED: complement C1q tumor necrosis factor-related protein 2 isoform X1 [Xenopus tropicalis]	gi|847112638|ref|XM_012959668.1|	2235	0	PREDICTED: Xenopus (Silurana) tropicalis C1q and tumor necrosis factor related protein 2 (c1qtnf2), transcript variant X1, mRNA	Q9D8U4	342	4.00E-109	Complement C1q tumor necrosis factor-related protein 2	.	.	.	.	pfam00386	C1q	C1q domain. C1q is a subunit of the C1 enzyme complex that activates the serum complement system.	GO:0000187|activation of MAPK activity;GO:0046321|positive regulation of fatty acid oxidation;GO:0046326|positive regulation of glucose import;GO:0045725|positive regulation of glycogen biosynthetic process;GO:0070208|protein heterotrimerization;GO:0051260|protein homooligomerization;GO:0070206|protein trimerization;	GO:0005581|collagen trimer;GO:0005615|extracellular space;	GO:0042802|identical protein binding;GO:0005102|receptor binding;	.	.	2.843104569	6.157781908	5.368664411	6.02252112	4.717927913	5.07709498	9.519698393	14.10575375	9.252151423	9.867803605	11.69936894	5.777966599	3.052299823	1.892012106	3.409370924	3.488087703	3.348669812	2.901755255	10.30984491	10.15709292	12.37771689	9.751054855	9.840147931	12.11761947	3.058932414	4.617104341	2.121485911	4.528154757	3.456845838	3.426680191	16.54667452	6.124842807	6.905342824	12.41506642	8.948148028	7.942184194	2.699164294	3.141109528	3.442876167	4.391023281	4.699089057	4.376540226	7.039566421	12.10019714	13.01670247	12.48141586	12.04510474	8.778760073
c3	protein_coding	chrNC_030679.1:130561577-130587377:+	gi|197246359|gb|AAI68633.1|	8682	0	Unknown (protein for IMAGE:7685509), partial [Xenopus tropicalis]	gi|847170837|ref|XM_012953413.1|	5117	0	PREDICTED: Xenopus (Silurana) tropicalis complement component 3 (c3), transcript variant X1, mRNA	Q0ZZJ6	1751	0	A.superbus venom factor 1	.	.	.	.	pfam07678	A2M_comp	A-macroglobulin complement component. This family includes the complement components region of the alpha-2-macroglobulin family.	GO:0006956|complement activation;GO:0006954|inflammatory response;	GO:0005615|extracellular space;	GO:0004866|endopeptidase inhibitor activity;GO:0046872|metal ion binding;	.	.	10.50540045	27.55750289	6.428137772	26.72854557	9.529420858	10.0792459	71.63103898	98.18103442	21.58975852	333.6614639	36.74626644	45.52622428	33.8858126	200.8168184	2.569630926	126.0231373	13.45169331	61.85683203	81.26711	2533.074069	34.21967146	142.2247551	69.67392839	58.76205854	36.51406614	199.1705574	248.7918812	21.35676309	174.1093951	556.9118774	104.8372463	187.538836	106.0067088	38.22320705	1193.016001	392.8756172	9.580391523	5.656926078	3.207588693	6.268728902	10.02308831	5.146218397	98.63201933	77.75491659	41.28784439	32.94615253	56.08385861	62.38640974
