GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lint1	Lint2	Lint3	Lint4	Lint5	Lint6	Lmus1	Lmus2	Lmus3	Lmus4	Lmus5	Lmus6	LMint1	LMint2	LMint3	LMint4	LMint5	LMint6	LMmus1	LMmus2	LMmus3	LMmus4	LMmus5	LMmus6	Mint1	Mint2	Mint3	Mint4	Mint5	Mint6	Mmus1	Mmus2	Mmus3	Mmus4	Mmus5	Mmus6	MLint1	MLint2	MLint3	MLint4	MLint5	MLint6	MLmus1	MLmus2	MLmus3	MLmus4	MLmus5	MLmus6
col4a2	protein_coding	chrNC_030678.1:113644049-113761497:-	gi|512822856|ref|XP_002933063.2|	6619	0	PREDICTED: collagen alpha-2(IV) chain [Xenopus tropicalis]	gi|847104841|ref|XM_004911987.2|	5843	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 2 (col4a2), transcript variant X1, mRNA	P08122	72.4	5.00E-11	Collagen alpha-2(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0001525|angiogenesis;GO:0071560|cellular response to transforming growth factor beta stimulus;GO:0038063|collagen-activated tyrosine kinase receptor signaling pathway;GO:0035987|endodermal cell differentiation;GO:0030198|extracellular matrix organization;GO:0016525|negative regulation of angiogenesis;GO:0006351|transcription, DNA-templated;	GO:0005604|basement membrane;GO:0005587|collagen type IV trimer;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;GO:0043231|intracellular membrane-bounded organelle;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	2.448826252	4.256943263	1.612651301	3.911643697	1.571445235	3.162215206	18.72532206	19.7402547	11.67433657	15.13318216	22.26257708	18.62753468	4.065809163	6.62113059	3.226475952	4.181047293	3.03257081	4.622466625	22.70337011	21.94581604	25.18767369	23.10524865	20.52485145	32.77287626	6.277077906	2.189472827	4.449817208	2.871588969	6.116026795	2.437323506	29.65956407	22.2773865	10.74222214	24.12579846	17.79626641	14.53595144	1.897298079	3.696237419	2.053243615	3.565471045	3.066505269	2.329734791	16.82707702	21.19449699	19.04901564	30.96445546	36.69824441	24.14314891
enpp2	protein_coding	chrNC_030682.1:122888601-122942850:-	gi|847135208|ref|XP_012820111.1|	4946	0	PREDICTED: ectonucleotide pyrophosphatase/phosphodiesterase family member 2 isoform X1 [Xenopus tropicalis]	gi|847135211|ref|XM_012964658.1|	3508	0	PREDICTED: Xenopus (Silurana) tropicalis ectonucleotide pyrophosphatase/phosphodiesterase 2 (enpp2), transcript variant X2, mRNA	Q64610	1380	0	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	SPBC725.05c	214	3.00E-59	COG1524	pfam01663	Phosphodiest	Type I phosphodiesterase / nucleotide pyrophosphatase. This family consists of phosphodiesterases, including human plasma-cell membrane glycoprotein PC-1 / alkaline phosphodiesterase i / nucleotide pyrophosphatase (nppase). These enzymes catalyse the cleavage of phosphodiester and phosphosulfate bonds in NAD, deoxynucleotides and nucleotide sugars. Also in this family is ATX an autotaxin, tumor cell motility-stimulating protein which exhibits type I phosphodiesterases activity. The alignment encompasses the active site. Also present with in this family is 60-kDa Ca2+-ATPase form F. odoratum.	GO:0006935|chemotaxis;GO:0006955|immune response;GO:0034638|phosphatidylcholine catabolic process;GO:0009395|phospholipid catabolic process;GO:0010634|positive regulation of epithelial cell migration;GO:2000394|positive regulation of lamellipodium morphogenesis;GO:0050731|positive regulation of peptidyl-tyrosine phosphorylation;GO:0045765|regulation of angiogenesis;GO:0030334|regulation of cell migration;	GO:0005615|extracellular space;GO:0005887|integral component of plasma membrane;	GO:0047391|alkylglycerophosphoethanolamine phosphodiesterase activity;GO:0005509|calcium ion binding;GO:0004622|lysophospholipase activity;GO:0003676|nucleic acid binding;GO:0004551|nucleotide diphosphatase activity;GO:0004528|phosphodiesterase I activity;GO:0030247|polysaccharide binding;GO:0005044|scavenger receptor activity;GO:0008270|zinc ion binding;	K01122	ENPP2; ectonucleotide pyrophosphatase/phosphodiesterase family member 2 [EC:3.1.4.39]	25.36971365	29.73379223	20.75127109	13.61163079	19.69460167	9.423316832	1.273287388	0.82842025	1.70760843	0.842234575	1.25424088	4.021751565	25.05925152	32.83243933	25.49310915	37.57084982	27.95125806	22.33814474	1.032020419	0.846756542	0.745909097	1.768418579	0.582074044	2.178875762	17.32350781	7.576260895	23.13067595	17.4427732	40.70686572	7.585993802	0.72327912	0.939047005	0.481403277	1.531801969	0.65191926	0.526744475	32.32946757	17.29286772	37.23808719	19.85183951	54.82044284	35.74673361	1.338908569	0.717989535	0.90874822	2.177274952	4.701933422	1.927580329
col1a1	protein_coding	chrNC_030686.1:13936262-13962423:+	gi|58332412|ref|NP_001011005.1|	1566	0	collagen alpha-1(I) chain precursor [Xenopus tropicalis]	gi|58332411|ref|NM_001011005.1|	5663	0	Xenopus (Silurana) tropicalis collagen, type I, alpha 1 (col1a1), mRNA	Q9YIB4	60.8	1.00E-07	Collagen alpha-1(I) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	.	GO:0005581|collagen trimer;GO:0005578|proteinaceous extracellular matrix;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	62.07944491	51.38375626	25.04804007	104.5079644	30.01232524	69.57340872	353.1531939	153.3372482	82.35381831	345.8816205	189.0843277	401.6472176	41.47982176	79.78721712	22.33734407	18.30535661	21.65623721	42.85004987	41.76083877	15.60461977	27.38180552	33.32291734	17.69111989	96.16605974	66.60924951	16.30538753	52.33139251	27.11530629	59.69319416	32.17046701	151.3803995	49.08253522	27.55370282	58.75594742	15.91046227	73.45274628	33.39108849	116.3209112	43.45469959	98.55644807	51.19678056	37.44067292	39.67838004	196.9356147	40.9873785	415.7068294	137.1214178	139.4882122
tnfsf10	protein_coding	chrNC_030681.1:92949458-92959835:-	gi|512841018|ref|XP_002931598.2|	1444	0	PREDICTED: tumor necrosis factor ligand superfamily member 10 [Xenopus tropicalis]	gi|847129371|ref|XM_002931552.3|	2869	0	PREDICTED: Xenopus (Silurana) tropicalis tumor necrosis factor (ligand) superfamily, member 10 (tnfsf10), mRNA	P50591	239	4.00E-70	Tumor necrosis factor ligand superfamily member 10	.	.	.	.	pfam00229	TNF	TNF(tumor Necrosis Factor) family.	GO:0006919|activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0097296|activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway;GO:0006915|apoptotic process;GO:0007166|cell surface receptor signaling pathway;GO:0007267|cell-cell signaling;GO:0006955|immune response;GO:0008584|male gonad development;GO:1902042|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:0043065|positive regulation of apoptotic process;GO:0043280|positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;GO:2001238|positive regulation of extrinsic apoptotic signaling pathway;GO:0043123|positive regulation of I-kappaB kinase/NF-kappaB signaling;GO:0090200|positive regulation of release of cytochrome c from mitochondria;GO:1902041|regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:0032868|response to insulin;GO:0007165|signal transduction;	GO:0070062|extracellular exosome;GO:0005576|extracellular region;GO:0005615|extracellular space;GO:0005887|integral component of plasma membrane;	GO:0046872|metal ion binding;GO:0005102|receptor binding;	K04721	TNFSF10, TRAIL; tumor necrosis factor ligand superfamily member 10	80.9851326	33.35993567	47.76104128	44.26721805	19.69637882	30.4282658	3.49098798	3.030206846	2.288825196	1.832643591	2.887683328	1.678122887	98.23078131	132.0942507	54.45184627	105.9524944	93.39583055	50.37161719	5.169956665	3.213864449	3.662114317	3.219898207	2.216986721	3.589416436	66.25048733	70.46455803	48.08356507	81.83992875	54.8070544	107.7124109	3.42670806	5.369037296	2.597121926	3.080951422	3.872646269	2.894933742	87.3236213	67.62298736	99.07955	78.54649294	97.46317328	78.0393625	4.078367605	3.583130621	3.144241197	3.051177013	3.43975919	2.247588872
col5a2	protein_coding	chrNC_030685.1:39677783-39793267:+	gi|512867119|ref|XP_002931546.2|	2285	0	PREDICTED: collagen alpha-2(V) chain [Xenopus tropicalis]	gi|847166874|ref|XM_002931500.3|	6892	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type V, alpha 2 (col5a2), mRNA	P05997	58.2	1.00E-06	Collagen alpha-2(V) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	GO:0071230|cellular response to amino acid stimulus;GO:0030574|collagen catabolic process;GO:0030199|collagen fibril organization;GO:0030198|extracellular matrix organization;GO:0048592|eye morphogenesis;GO:1903225|negative regulation of endodermal cell differentiation;GO:0001503|ossification;GO:0001501|skeletal system development;GO:0043588|skin development;	GO:0005588|collagen type V trimer;GO:0005788|endoplasmic reticulum lumen;GO:0031012|extracellular matrix;GO:0005576|extracellular region;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	10.6722734	12.26779056	6.992001603	18.71940385	7.962230845	14.39627083	17.06110043	11.83652905	7.001731986	17.54624427	15.31489779	24.49574215	8.686548619	16.51857754	6.777189683	7.21475142	6.573886003	10.35133162	6.745582149	4.654314284	6.946428609	6.42425447	4.0751064	10.46111928	11.81984565	4.114020678	10.19940193	8.001315643	12.55180365	7.346803107	13.64342721	8.245250087	3.785590077	9.091668132	5.022997244	7.003120829	7.526267777	15.37250562	9.925963857	15.84309779	10.07936826	10.20458914	7.337434565	15.44101537	8.779927807	26.83528346	16.05513592	19.87835957
fam3d	protein_coding	chrNW_016683370.1:146777-169411:-	gi|55926084|ref|NP_001007503.1|	1047	9.00E-137	family with sequence similarity 3 member D [Xenopus tropicalis]	gi|847117710|ref|XM_012960902.1|	1886	0	PREDICTED: Xenopus (Silurana) tropicalis family with sequence similarity 3, member D (fam3d), transcript variant X2, mRNA	Q5R5C3	236	3.00E-71	Protein FAM3A	.	.	.	.	pfam09591	DUF2463	Protein of unknown function (DUF2463). This protein is found in eukaryotic, parasitic microsporidia. Its function is unknown.	.	GO:0005576|extracellular region;	.	.	.	22.97711582	74.11369935	39.58840906	52.58043691	79.91921631	47.36162455	0.032576759	0.0	0.065978945	0.0	0.0	0.222082939	12.66525711	67.2913941	21.88229141	16.85018724	14.52447762	27.77354223	0.0	0.032717163	0.0	0.0	0.118074092	0.0	26.88470701	25.1092063	22.059191	17.36114924	14.20270704	15.28036064	0.0	0.436081811	0.03375658	0.0	0.0	0.0	12.31596639	22.05849329	28.08707617	17.14400977	17.15439469	18.02269113	0.033354197	0.0	0.064924835	0.0	0.0	0.031460647
them6	protein_coding	chrNC_030682.1:133746521-133754036:-	gi|847171357|ref|XP_012809068.1|	1097	2.00E-142	PREDICTED: protein THEM6 isoform X1 [Xenopus tropicalis]	gi|187607566|ref|NM_001126505.1|	2145	0	Xenopus tropicalis thioesterase superfamily member 6 (them6), mRNA	B0BLZ5	423	1.00E-143	Protein THEM6	.	.	.	.	pfam13279	4HBT_2	Thioesterase-like superfamily. This family contains a wide variety of enzymes, principally thioesterases. These enzymes are part of the Hotdog fold superfamily.	.	GO:0005576|extracellular region;	.	.	.	10.3632394	9.373229644	5.654003583	9.821926953	14.39052417	10.86662175	1.946065616	2.716925536	1.944088881	2.351713269	2.331432164	2.151366124	2.620405367	8.953946937	6.238881695	5.052402289	2.869445982	7.426115272	1.694156654	2.033687634	1.62454524	1.756828902	1.620396961	2.136844842	7.431244489	5.351623394	4.828392447	4.21468736	5.694899387	4.518180648	3.026812509	2.383006223	1.853041873	2.313950903	1.723467522	2.467135158	4.771299454	7.01569984	8.475511946	3.411562827	3.942889872	4.565421907	1.723250228	2.143680151	1.83441159	1.908913845	1.921346771	1.67621404
loxl1	protein_coding	chrNC_030679.1:82947858-82954271:+	gi|156717522|ref|NP_001096301.1|	2232	0	lysyl oxidase homolog 1 precursor [Xenopus tropicalis]	gi|156717521|ref|NM_001102831.1|	2300	0	Xenopus tropicalis lysyl oxidase like 1 (loxl1), mRNA	Q08397	84.3	2.00E-15	Lysyl oxidase homolog 1	.	.	.	.	pfam01186	Lysyl_oxidase	Lysyl oxidase.	GO:0035904|aorta development;GO:0030198|extracellular matrix organization;GO:0055114|oxidation-reduction process;GO:0018277|protein deamination;GO:0032496|response to lipopolysaccharide;	GO:0001669|acrosomal vesicle;GO:0005604|basement membrane;GO:0005576|extracellular region;GO:0005615|extracellular space;	GO:0005507|copper ion binding;GO:0016641|oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor;	K14678	LOXL1; lysyl oxidase-like protein 1 [EC:1.4.3.-]	4.046072167	3.869113327	3.690039737	6.71813057	3.238691994	5.965755211	5.900693574	4.347774954	4.162990677	8.897588405	5.647145563	11.19364962	3.060204266	5.04084045	2.058951464	4.055356962	2.604174644	3.633077715	1.801558683	1.741325899	2.424609422	3.104092923	1.959630024	4.160985702	5.207179281	2.140379966	5.592020057	2.780925463	5.439619246	3.431866636	5.653714793	3.513153955	1.68073468	3.618595797	2.462727887	2.181681131	4.489364405	4.774697048	5.803127469	8.079021357	5.113233691	4.321349497	4.409445089	6.920153506	6.548795894	15.80054032	11.48941121	14.17880693
col4a5	protein_coding	chrNC_030684.1:29716300-29809883:+	gi|512859351|ref|XP_004916925.1|	1470	1.00E-168	PREDICTED: collagen alpha-5(IV) chain isoform X4 [Xenopus tropicalis]	gi|847156843|ref|XM_004916865.2|	6633	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 5 (col4a5), transcript variant X1, mRNA	P29400	55.8	6.00E-06	Collagen alpha-5(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0030574|collagen catabolic process;GO:0030198|extracellular matrix organization;GO:0007528|neuromuscular junction development;	GO:0005605|basal lamina;GO:0005587|collagen type IV trimer;GO:0005788|endoplasmic reticulum lumen;GO:0005576|extracellular region;GO:0031594|neuromuscular junction;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	4.688329122	4.320184042	2.77105713	6.524747531	4.993516539	5.014933335	3.117877391	1.870642493	1.462466332	2.052632895	2.694399445	2.81292178	3.777888194	4.962876213	2.442801826	2.667824179	2.626870049	3.969089148	1.59342822	1.008552464	1.077968243	0.835508187	1.097717334	1.574427022	5.655712938	2.049602936	3.711886948	3.38874597	6.085011019	3.677543575	2.038839112	1.467386252	0.802743897	1.841466538	1.380886283	1.907815529	2.589189518	5.863690747	5.593890094	4.144487567	5.106217612	4.61610544	1.214243337	1.577775817	2.706654103	4.005882035	4.392138882	3.962401721
LOC101733520	protein_coding	chrNW_016684970.1:11388-12401:-	gi|847176056|ref|XP_012810718.1|	484	8.00E-61	PREDICTED: C-C motif chemokine 21c-like, partial [Xenopus tropicalis]	gi|847176055|ref|XM_012955264.1|	290	5.00E-149	PREDICTED: Xenopus (Silurana) tropicalis C-C motif chemokine 21c-like (LOC101733520), partial mRNA	Q99731	59.3	4.00E-11	C-C motif chemokine 19	.	.	.	.	pfam00048	IL8	Small cytokines (intecrine/chemokine), interleukin-8 like. Includes a number of secreted growth factors and interferons involved in mitogenic, chemotactic, and inflammatory activity. Structure contains two highly conserved disulfide bonds.	GO:0007257|activation of JUN kinase activity;GO:0007154|cell communication;GO:0048469|cell maturation;GO:0006874|cellular calcium ion homeostasis;GO:0071346|cellular response to interferon-gamma;GO:0071347|cellular response to interleukin-1;GO:0071356|cellular response to tumor necrosis factor;GO:0098586|cellular response to virus;GO:0070098|chemokine-mediated signaling pathway;GO:0002407|dendritic cell chemotaxis;GO:0001768|establishment of T cell polarity;GO:0007186|G-protein coupled receptor signaling pathway;GO:0006955|immune response;GO:0001771|immunological synapse formation;GO:0006954|inflammatory response;GO:0072610|interleukin-12 secretion;GO:0048247|lymphocyte chemotaxis;GO:0097029|mature conventional dendritic cell differentiation;GO:0002548|monocyte chemotaxis;GO:0002408|myeloid dendritic cell chemotaxis;GO:2000107|negative regulation of leukocyte apoptotic process;GO:2000147|positive regulation of cell motility;GO:0050921|positive regulation of chemotaxis;GO:0002606|positive regulation of dendritic cell antigen processing and presentation;GO:2000549|positive regulation of dendritic cell dendrite assembly;GO:0045807|positive regulation of endocytosis;GO:0070374|positive regulation of ERK1 and ERK2 cascade;GO:0010560|positive regulation of glycoprotein biosynthetic process;GO:0043547|positive regulation of GTPase activity;GO:0043123|positive regulation of I-kappaB kinase/NF-kappaB signaling;GO:0050718|positive regulation of interleukin-1 beta secretion;GO:0032735|positive regulation of interleukin-12 production;GO:0046330|positive regulation of JNK cascade;GO:0090023|positive regulation of neutrophil chemotaxis;GO:0042346|positive regulation of NF-kappaB import into nucleus;GO:0043552|positive regulation of phosphatidylinositol 3-kinase activity;GO:0045860|positive regulation of protein kinase activity;GO:0051897|positive regulation of protein kinase B signaling;GO:0048260|positive regulation of receptor-mediated endocytosis;GO:0042102|positive regulation of T cell proliferation;GO:0045627|positive regulation of T-helper 1 cell differentiation;GO:0032760|positive regulation of tumor necrosis factor production;GO:0060491|regulation of cell projection assembly;GO:0051209|release of sequestered calcium ion into cytosol;GO:0071731|response to nitric oxide;GO:0034695|response to prostaglandin E;GO:0009615|response to virus;GO:0031295|T cell costimulation;	GO:0005576|extracellular region;GO:0005615|extracellular space;GO:0005622|intracellular;	GO:0048020|CCR chemokine receptor binding;GO:0031735|CCR10 chemokine receptor binding;GO:0031732|CCR7 chemokine receptor binding;GO:0008009|chemokine activity;GO:0042379|chemokine receptor binding;	K05512	CCL19, ELC; C-C motif chemokine 19	17.12265064	8.749815567	11.68061747	16.04704758	7.930235158	7.962407563	1.998752667	1.559298777	1.124485987	0.836202656	3.937708531	2.59541657	25.88287653	24.46352703	17.36023027	19.28205108	15.66722624	16.02869344	1.480020088	0.892163191	4.091632908	1.597735696	1.878192367	3.046606772	21.19559272	7.798884682	14.73549875	12.65027818	42.13408762	19.58232745	5.556719515	1.600778827	0.690380256	5.057648956	1.81929826	1.754486825	7.383497611	13.7882474	27.12072232	10.62498662	27.20610592	15.04037506	3.638137766	1.724096122	2.876953782	3.921190126	7.796641062	0.857899307
ifi30	protein_coding	chrNC_030677.1:84907019-84926542:-	gi|847087884|ref|XP_012818874.1|	1369	0	PREDICTED: gamma-interferon-inducible lysosomal thiol reductase isoform X1 [Xenopus tropicalis]	gi|847087883|ref|XM_012963420.1|	1901	0	PREDICTED: Xenopus (Silurana) tropicalis interferon, gamma-inducible protein 30 (ifi30), transcript variant X1, mRNA	P13284	214	2.00E-63	Gamma-interferon-inducible lysosomal thiol reductase	.	.	.	.	pfam03227	GILT	Gamma interferon inducible lysosomal thiol reductase (GILT). This family includes the two characterized human gamma-interferon-inducible lysosomal thiol reductase (GILT) sequences. It also contains several other eukaryotic putative proteins with similarity to GILT. The aligned region contains three conserved cysteine residues. In addition, the two GILT sequences possess a C-X(2)-C motif that is shared by some of the other sequences in the family. This motif is thought to be associated with disulphide bond reduction.	GO:0042590|antigen processing and presentation of exogenous peptide antigen via MHC class I;GO:0019886|antigen processing and presentation of exogenous peptide antigen via MHC class II;GO:0060333|interferon-gamma-mediated signaling pathway;GO:0048147|negative regulation of fibroblast proliferation;GO:0050821|protein stabilization;	GO:0030054|cell junction;GO:0005737|cytoplasm;GO:0005576|extracellular region;GO:0043231|intracellular membrane-bounded organelle;GO:0043202|lysosomal lumen;GO:0005764|lysosome;GO:0005886|plasma membrane;	GO:0016667|oxidoreductase activity, acting on a sulfur group of donors;	K08059	IFI30, GILT; interferon, gamma-inducible protein 30	134.5706167	115.4753439	92.34583607	129.9346359	101.7512636	112.4182208	12.77243726	12.23347053	9.812190194	19.86806075	12.44789093	25.33978513	76.49776446	169.3253285	68.9488465	109.4614159	84.16182295	65.25621743	7.789374528	7.6216361	9.105741213	21.27472669	6.303454656	10.08179913	79.18696703	81.81681069	69.71629248	80.52894205	92.61600773	98.02686051	11.59632702	15.34976917	9.654186463	9.083257929	7.840400311	13.38246132	106.7147613	100.0108059	128.6607333	95.10057371	88.05506195	86.21880991	10.61442482	15.38626549	16.00234965	21.26871493	13.82261314	31.96588777
col3a1	protein_coding	chrNC_030685.1:39803845-39864240:-	gi|218847780|ref|NP_001136379.1|	1436	1.00E-166	collagen alpha-1(III) chain precursor [Xenopus tropicalis]	gi|218847779|ref|NM_001142907.1|	5222	0	Xenopus (Silurana) tropicalis collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant) (col3a1), mRNA	P13941	147	4.00E-34	Collagen alpha-1(III) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	GO:0007568|aging;GO:0060414|aorta smooth muscle tissue morphogenesis;GO:0007160|cell-matrix adhesion;GO:0071230|cellular response to amino acid stimulus;GO:0021987|cerebral cortex development;GO:0030199|collagen fibril organization;GO:0048565|digestive tract development;GO:0007507|heart development;GO:0007229|integrin-mediated signaling pathway;GO:0050777|negative regulation of immune response;GO:2001223|negative regulation of neuron migration;GO:0018149|peptide cross-linking;GO:0035025|positive regulation of Rho protein signal transduction;GO:0034097|response to cytokine;GO:0009612|response to mechanical stimulus;GO:0009314|response to radiation;GO:0001501|skeletal system development;GO:0043588|skin development;GO:0007179|transforming growth factor beta receptor signaling pathway;GO:0042060|wound healing;	GO:0005586|collagen type III trimer;GO:0031012|extracellular matrix;GO:0005615|extracellular space;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	73.79016621	83.06121195	36.04316176	199.9085448	46.44551541	153.870346	204.0652051	127.2701475	52.53090397	290.7517826	163.9834012	384.9958408	53.20058846	133.432037	45.68103796	30.44503582	32.08732161	72.45873299	49.49444633	12.75676286	43.7667305	47.09469868	23.692494	119.4971046	120.7531788	26.09516505	90.22332501	50.23541428	84.04647312	60.71632653	192.1601958	53.23853053	33.03837604	54.14162577	18.60083688	66.39429613	40.72298036	184.9149057	63.9490184	162.7533007	65.1385469	60.78991829	40.19431279	284.4406109	68.9872927	530.7254022	184.3259224	232.3482728
psap	protein_coding	chrNC_030683.1:50935069-50955746:-	gi|62859755|ref|NP_001017285.1|	1972	0	prosaposin precursor [Xenopus tropicalis]	gi|77682256|ref|NM_001017285.2|	1521	0	Xenopus (Silurana) tropicalis prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy) (psap), mRNA	P26779	111	9.00E-25	Prosaposin	.	.	.	.	pfam05184	SapB_1	Saposin-like type B, region 1.	GO:0007193|adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway;GO:0060742|epithelial cell differentiation involved in prostate gland development;GO:0006687|glycosphingolipid metabolic process;GO:0060736|prostate gland growth;GO:0019216|regulation of lipid metabolic process;	GO:0005737|cytoplasm;GO:0005615|extracellular space;GO:0005764|lysosome;	GO:0008047|enzyme activator activity;GO:0001664|G-protein coupled receptor binding;	K12382	PSAP, SGP1; saposin	512.6528017	610.6180226	606.3990978	515.480428	430.8779763	476.0002012	41.29402018	43.74930231	52.84944279	35.62831748	49.31658867	43.33630103	496.7962132	587.2639604	445.5689497	555.5096256	498.3152275	400.3684529	79.89776767	169.5082322	68.32260599	87.80307122	54.5837142	67.49784704	406.0563096	424.9479347	434.9234225	448.2866991	461.8387451	487.0748654	49.66629077	70.52471753	63.04299471	61.77663145	129.8074399	47.8978722	716.8578531	650.1130781	569.472523	621.1428985	591.9744709	540.2088324	63.76781038	52.58734416	73.75703554	45.10235685	53.16618336	100.6071001
mmp15	protein_coding	chrNC_030680.1:27645917-27683484:+	gi|62860164|ref|NP_001015921.1|	3159	0	matrix metalloproteinase-15 [Xenopus tropicalis]	gi|77682534|ref|NM_001015921.2|	3469	0	Xenopus tropicalis matrix metallopeptidase 15 (mmp15), mRNA	P51511	786	0	Matrix metalloproteinase-15	.	.	.	.	pfam00413	Peptidase_M10	Matrixin. The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis.	GO:0006464|cellular protein modification process;GO:0030574|collagen catabolic process;GO:0035987|endodermal cell differentiation;GO:0022617|extracellular matrix disassembly;GO:0006508|proteolysis;GO:0032355|response to estradiol;	GO:0031012|extracellular matrix;GO:0005887|integral component of plasma membrane;GO:0005886|plasma membrane;	GO:0005509|calcium ion binding;GO:0008047|enzyme activator activity;GO:0070006|metalloaminopeptidase activity;GO:0004222|metalloendopeptidase activity;GO:0004252|serine-type endopeptidase activity;GO:0008270|zinc ion binding;	K07995	MMP15; matrix metalloproteinase-15 (membrane-inserted) [EC:3.4.24.-]	12.45086044	8.086168686	8.297001899	10.95538764	6.517352046	8.557129185	4.403393313	2.783662199	2.697991085	3.7269992	4.064151596	3.910025011	19.32427977	10.76288089	15.58944805	16.32009647	14.20087108	12.28513476	3.945586445	2.118278878	2.927484282	2.45296066	2.190594947	3.553353489	13.88397225	12.84447164	14.27721977	14.39716826	19.94412102	20.75399503	2.499805447	2.819609606	1.150303213	2.355727694	2.803945752	1.973230658	15.39544247	16.29704694	16.63130306	16.2052588	20.88923417	21.28342905	2.2542397	4.416727137	3.908583266	4.319329415	3.528546531	4.931503915
